"","X1","X2","Keywords","keywords_clean"
"1","A00","General Economics and Teaching","None Specified","none specified"
"2","A10","General Economics: General","Department of Economics, Theory, University. ","department economics theory university "
"3","A11","Role of Economics; Role of Economists; Market for Economists","Economists. ","economists "
"4","A12","Relation of Economics to Other Disciplines","Anthropology, Biology, Computer Science, Language, Philosophers, Philosophical, Philosophy, Physics, Psychology, Sociobiology, Sociological, Sociology. ","anthropology biology computer science language philosophers philosophical philosophy physics psychology sociobiology sociological sociology "
"5","A13","Relation of Economics to Social Values","Egoism, Ethical, Ethics, Moral Economics, Morality, Morals, Social Economics, Social Values, Sociocultural. ","egoism ethical ethics moral economics morality morals social economics social values sociocultural "
"6","A14","Sociology of Economics","AEA, Citation Analyses, Citation Analysis, Citations, Departmental Rankings, Economic Research, Economics Departments, Economics Faculty, Economics Journals, Economics Publishing, Nobel Prize. ","aea citation analyses citation analysis citations departmental rankings economic research economics departments economics faculty economics journals economics publishing nobel prize "
"7","A19","General Economics: Other","Commercial Publishers, Editorial Plagiarism. ","commercial publishers editorial plagiarism "
"8","A20","Economic Education and Teaching of Economics: General","Economics Education Research. ","economics education research "
"9","A21","Economic Education and Teaching of Economics: Pre-college","Curriculum, Elementary Economics Education, High School Economics, Introductory Economics, Pre College Teaching, Precollege, Primary Economics Education, Secondary Economics Education. ","curriculum elementary economics education high school economics introductory economics pre college teaching precollege primary economics education secondary economics education "
"10","A22","Economic Education and Teaching of Economics: Undergraduate","Introductory Economics, Undergraduate Curriculum, Undergraduate Economics Course, Undergraduate Teaching. ","introductory economics undergraduate curriculum undergraduate economics course undergraduate teaching "
"11","A23","Economic Education and Teaching of Economics: Graduate","Graduate Curriculum, Graduate Economics Course, Graduate Teaching. ","graduate curriculum graduate economics course graduate teaching "
"12","A29","Economic Education and Teaching of Economics: Other","Department Training, Management Training, Published Papers. ","department training management training published papers "
"13","A30","Collective Works: General","None Specified","none specified"
"14","A31","Collected Writings of Individuals","None Specified","none specified"
"15","A32","Collective Volumes","None Specified","none specified"
"16","A33","Handbooks","None Specified","none specified"
"17","A39","Collective Works: Other","None Specified","none specified"
"18","B00","History of Economic Thought, Methodology, and Heterodox Approaches","History of Economic Thought, Theory. ","history economic thought theory "
"19","B10","History of Economic Thought through 1925: General","Economic Thought, Political Economy. ","economic thought political economy "
"20","B11","History of Economic Thought: Preclassical (Ancient, Medieval, Mercantilist, Physiocratic)","Ancient Economic Thought, Cameralism, Chinese Economic Thought, Enlightenment, Greek Economic Thought, Indian Economic Thought, Mediaeval, Medieval, Mercantilism, Mercantilist, Physiocracy, Physiocratic, Physiocrats, Political Arithmeticians, Pre Classical, Renaissance Economics, Scholasticism, Tableau. ","ancient economic thought cameralism chinese economic thought enlightenment greek economic thought indian economic thought mediaeval medieval mercantilism mercantilist physiocracy physiocratic physiocrats political arithmeticians pre classical renaissance economics scholasticism tableau "
"21","B12","History of Economic Thought: Classical (includes Adam Smith)","Adam Smith, Classical School, Enlightenment, Malthusian, Ricardian, Smithian, Utilitarianism. ","adam smith classical school enlightenment malthusian ricardian smithian utilitarianism "
"22","B13","History of Economic Thought: Neoclassical through 1925 (Austrian, Marshallian, Walrasian, Wicksellian)","Austrian School, Cambridge School, Lausanne School, Marginalism, Marshallian, Mathematical Economics, Neo Classical, Neoclassical, Neoclassicism, Pigouvian, Praxeological, Praxeology, Tatonnement, Walrasian, Wicksellian. ","austrian school cambridge school lausanne school marginalism marshallian mathematical economics neo classical neoclassical neoclassicism pigouvian praxeological praxeology tatonnement walrasian wicksellian "
"23","B14","History of Economic Thought through 1925: Socialist; Marxist","Marxism, Socialism, Socialists. ","marxism socialism socialists "
"24","B15","History of Economic Thought through 1925: Historical; Institutional; Evolutionary","Evolutionary Economics, Historical School, Historicism, Institutionalism, Neoinstitutional, Neoinstitutionalist. ","evolutionary economics historical school historicism institutionalism neoinstitutional neoinstitutionalist "
"25","B16","History of Economic Thought through 1925: Quantitative and Mathematical","Econometrics, Mathematical, Quantitative Methods, Statistics. ","econometrics mathematical quantitative methods statistics "
"26","B17","History of Economic Thought through 1925: International Trade and Finance","None Specified","none specified"
"27","B19","History of Economic Thought through 1925: Other","History, Theory. ","history theory "
"28","B20","History of Economic Thought since 1925: General","Economic Thought. ","economic thought "
"29","B21","History of Economic Thought: Microeconomics","Behavioral Economics, Consumer Theory, Game Theory, Marginalism, Microeconomics, Neoclassical Microeconomics, Neoclassicism, Utility Theory. ","behavioral economics consumer theory game theory marginalism microeconomics neoclassical microeconomics neoclassicism utility theory "
"30","B22","History of Economic Thought: Macroeconomics","Carnegie School, Chicago School, Keynesian, Macroeconomics, Monetarism, Neo Keynesian, Neoclassicism, New Classical, New Neoclassical Synthesis, Swedish School . ","carnegie school chicago school keynesian macroeconomics monetarism neo keynesian neoclassicism new classical new neoclassical synthesis swedish school "
"31","B23","History of Economic Thought: Quantitative and Mathematical","Econometrics, Econometrics History, Quantitative Methods, Statistics. ","econometrics econometrics history quantitative methods statistics "
"32","B24","History of Economic Thought since 1925: Socialist; Marxist; Sraffian","Marxism, Neo Ricardian, Socialism, Socialists, Sraffian. ","marxism neo ricardian socialism socialists sraffian "
"33","B25","History of Economic Thought since 1925: Historical; Institutional; Evolutionary; Austrian; Stockholm School","Austrian School, Cliometrics, Evolutionary, Evolutionary Economics, Historical School, Historicism, Institutionalism, Neo Austrian, Neo Institutional, Neoinstitutional, Neoinstitutionalist, New Economic History, New Institutional Economics, Schumpeterian, Veblenian. ","austrian school cliometrics evolutionary evolutionary economics historical school historicism institutionalism neo austrian neo institutional neoinstitutional neoinstitutionalist new economic history new institutional economics schumpeterian veblenian "
"34","B26","History of Economic Thought since 1925: Financial Economics","Asset Pricing, Banking, Behavioral Finance, Financial Crisis, Financial Economics, Financial History, Insurance Markets, Insurance Theory. ","asset pricing banking behavioral finance financial crisis financial economics financial history insurance markets insurance theory "
"35","B27","History of Economic Thought since 1925: International Trade and Finance","None Specified","none specified"
"36","B29","History of Economic Thought since 1925: Other","Debate, Economic Thought, History of Economics. ","debate economic thought history economics "
"37","B30","History of Economic Thought: Individuals: General","Biography, History. ","biography history "
"38","B31","History of Economic Thought: Individuals","Adam Smith, Alfred Marshall, Biography, Career History, David Hume, Economists, Elinor Ostrom, Francois Quesnay, Friedrich Hayek, Interview, John Maynard Keynes, Joseph A. Schumpeter, Leon Walras, Remembrances, Thomas Sargent. ","adam smith alfred marshall biography career history david hume economists elinor ostrom francois quesnay friedrich hayek interview john maynard keynes joseph schumpeter leon walras remembrances thomas sargent "
"39","B32","Obituaries","Obituaries. ","obituaries "
"40","B40","Economic Methodology: General","Methodological, Ontological, Ontology, Philosophy of Economics. ","methodological ontological ontology philosophy economics "
"41","B41","Economic Methodology","Abstraction, Canon, Economic Methodology, Empiricism, Epistemic, Falsifiability, Formalism, Heuristic, Idealism, Individualism, Induction, Metatheory, Methodological, Methodologies, Methodology, Normative, Paradigmatic, Persuasion, Philosophers, Philosophical, Philosophy, Positivism, Pragmatism, Rationalism, Realism, Reductionism, Rhetoric, Scenario Analysis, Simulation. ","abstraction canon economic methodology empiricism epistemic falsifiability formalism heuristic idealism individualism induction metatheory methodological methodologies methodology normative paradigmatic persuasion philosophers philosophical philosophy positivism pragmatism rationalism realism reductionism rhetoric scenario analysis simulation "
"42","B49","Economic Methodology: Other","None Specified","none specified"
"43","B50","Current Heterodox Approaches: General","Heterodox Economics. ","heterodox economics "
"44","B51","Current Heterodox Approaches: Socialist; Marxian; Sraffian","Marxian, Marxism, Neo Marxian, Socialism, Socialist, Sraffian. ","marxian marxism neo marxian socialism socialist sraffian "
"45","B52","Current Heterodox Approaches: Historical; Institutional; Evolutionary; Modern Monetary Theory<U+0086>","Evolutionary, Evolutionary Economics, Historical School, Neo Institutional, New Economic History, New Institutional Economics, Schumpeterian. ","evolutionary evolutionary economics historical school neo institutional new economic history new institutional economics schumpeterian "
"46","B53","Current Heterodox Approaches: Austrian"," Neo Austrian, Austrian School. "," neo austrian austrian school "
"47","B54","Feminist Economics"," Feminist Economics, Feminism. "," feminist economics feminism "
"48","B55","Social Economics","None Specified","none specified"
"49","B59","Current Heterodox Approaches: Other","Econo-Physics, Green Economics, Islamic Economics, Pluralist Economics, Real World Economics. ","econophysics green economics islamic economics pluralist economics real world economics "
"50","C00","Mathematical and Quantitative Methods: General","Econometrics, Statistical. ","econometrics statistical "
"51","C01","Econometrics","Applications. ","applications "
"52","C02","Mathematical Methods","Mathematical. ","mathematical "
"53","C10","Econometric and Statistical Methods and Methodology: General","Econometric Methods, Econometric Theory, Econometrics, Statistical Methods. ","econometric methods econometric theory econometrics statistical methods "
"54","C11","Bayesian Analysis: General","Bayesian. ","bayesian "
"55","C12","Hypothesis Testing: General","Chi-Squared Test, Dickey-Fuller Test, F Test, Hypothesis Testing, Lagrange Multiplier Test, Likelihood Ratio Test, Nonparametric Test, Statistical Testing, Test Statistics. ","chisquared test dickeyfuller test f test hypothesis testing lagrange multiplier test likelihood ratio test nonparametric test statistical testing test statistics "
"56","C13","Estimation: General"," Median Unbiased, Best Linear Unbiased Estimator, Confidence Intervals, Cramer-Rao Lower Bound, Estimation, Estimation Methods, Filtering, Frontier Estimation, Method of Moments, Point Estimation. "," median unbiased best linear unbiased estimator confidence intervals cramerrao lower bound estimation estimation methods filtering frontier estimation method moments point estimation "
"57","C14","Semiparametric and Nonparametric Methods: General"," Nonparametric Methods,  Parametric,  Semiparametric Methods, Non Parametric. "," nonparametric methods parametric semiparametric methods non parametric "
"58","C15","Statistical Simulation Methods: General"," Bootstrap Method,  Forecast,  Forecasting,  Gibbs Sampling,  Importance Sampling,  Monte Carlo,  Resampling,  Simulation, Bootstrap Estimation, Control Theory, Direct Sampling, Model Projection, Nowcasting. "," bootstrap method forecast forecasting gibbs sampling importance sampling monte carlo resampling simulation bootstrap estimation control theory direct sampling model projection nowcasting "
"59","C18","Methodological Issues: General","Econometric Methodology, Econometric Methods, Econometrics, Statistical Methods. ","econometric methodology econometric methods econometrics statistical methods "
"60","C19","Econometric and Statistical Methods: Other","Causality, Measure, Rational Learning. ","causality measure rational learning "
"61","C20","Single Equation Models; Single Variables: General","Single Equation Model, Single Variable Model. ","single equation model single variable model "
"62","C21","Single Equation Models; Single Variables: Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions","Cross Sectional, Error Component Models, Heteroskedastic, Heteroskedasticity, Quantile Regressions, Social Interaction Models, Spatial Autocorrelation, Spatial Autoregressive Models, Spatial Models, Treatment Effect Model. ","cross sectional error component models heteroskedastic heteroskedasticity quantile regressions social interaction models spatial autocorrelation spatial autoregressive models spatial models treatment effect model "
"63","C22","Single Equation Models; Single Variables: Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes","ACD , ARCH, ARIMA, ARMA, ARMA Disturbance, Autocorrelation, Autocovariance, Autoregression, Autoregressive, Autoregressive Moving Average, Causality, Cointegration, Cusum Test, Difference Stationarity, Distributed Lags, Durbin Watson, Dynamic Treatment Effect Models, Dynamic Treatment Models, Ergodicity, Error Correction Models, FACTOR ARCH, Filtering, Fractional Difference Models, Frequency Domain, GARCH, Garch Models, HP Filter, Kalman Filter, Macroeconometrics, Markov, Martingale, Moving Average, Nonstationarity, Seasonal Adjustment, Serial Correlation, Spectral Analysis, Structural Change, Threshold Autoregressive, Time Series, Treatment Effects Model, Treatment Model, Trend Stationarity, Unit Root, X 12 ARIMA. ","acd arch arima arma arma disturbance autocorrelation autocovariance autoregression autoregressive autoregressive moving average causality cointegration cusum test difference stationarity distributed lags durbin watson dynamic treatment effect models dynamic treatment models ergodicity error correction models factor arch filtering fractional difference models frequency domain garch garch models hp filter kalman filter macroeconometrics markov martingale moving average nonstationarity seasonal adjustment serial correlation spectral analysis structural change threshold autoregressive time series treatment effects model treatment model trend stationarity unit root x arima "
"64","C23","Single Equation Models; Single Variables: Panel Data Models; Spatio-temporal Models","Fixed Effects Models, Panel Data, Random Effects, Spatio-Temporal Model. ","fixed effects models panel data random effects spatiotemporal model "
"65","C24","Single Equation Models; Single Variables: Truncated and Censored Models; Switching Regression Models; Threshold Regression Models","Censored Model, Limited Dependent, Sample Selection, Switching Regression Models, Threshold Regression Models, Tobit, Truncated Models. ","censored model limited dependent sample selection switching regression models threshold regression models tobit truncated models "
"66","C25","Single Equation Models; Single Variables: Discrete Regression and Qualitative Choice Models; Discrete Regressors; Proportions; Probabilities","Bernoulli, Binary Choice Model, Count Data, Discrete Choice, Discrete Regression, Dummy Variables, Limited Dependent, Logit Model, Probit Model, Proportions, Qualitative Choice. ","bernoulli binary choice model count data discrete choice discrete regression dummy variables limited dependent logit model probit model proportions qualitative choice "
"67","C26","Single Equation Models: Single Variables: Instrumental Variables (IV) Estimation","Instrumental Method, Instrumental Variables, Regression Models. ","instrumental method instrumental variables regression models "
"68","C29","Single Equation Models; Single Variables: Other","Regression Variables, Univariate Data. ","regression variables univariate data "
"69","C30","Multiple or Simultaneous Equation Models; Multiple Variables: General","Multiple Equation Models, Multiple Variables, Multivariate, Simultaneous Equation Models. ","multiple equation models multiple variables multivariate simultaneous equation models "
"70","C31","Multiple or Simultaneous Equation Models: Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions; Social Interaction Models","Cross Sectional, Error Component Models, Heteroskedastic, Heteroskedasticity, Quantile Regressions, Social Interaction Models, Spatial Autocorrelation, Spatial Autoregressive Models, Spatial Models, Treatment Effect Model. ","cross sectional error component models heteroskedastic heteroskedasticity quantile regressions social interaction models spatial autocorrelation spatial autoregressive models spatial models treatment effect model "
"71","C32","Multiple or Simultaneous Equation Models: Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes; State Space Models","Autocorrelation, Autocovariance, Autoregression, Autoregressive, Autoregressive Moving Average, Causality, Cointegration, Cointegration Models, Cross Autocorrelation, Dynamic Quantile Regressions, Dynamic Treatment Effect Models, Dynamic Treatment Models, Frequency Domain, Macroeconometrics, Nonstationarity, State Space Models, Structural Change, Time Series, Treatment Effect Model, Treatment Effects Model, Treatment Model, Trend Stationarity, Unit Root, VAR, VARMA. ","autocorrelation autocovariance autoregression autoregressive autoregressive moving average causality cointegration cointegration models cross autocorrelation dynamic quantile regressions dynamic treatment effect models dynamic treatment models frequency domain macroeconometrics nonstationarity state space models structural change time series treatment effect model treatment effects model treatment model trend stationarity unit root var varma "
"72","C33","Multiple or Simultaneous Equation Models: Panel Data Models; Spatio-temporal Models","Fixed Effects Model, Panel Data, Random Effects, Spatio-Temporal Model. ","fixed effects model panel data random effects spatiotemporal model "
"73","C34","Multiple or Simultaneous Equation Models: Truncated and Censored Models; Switching Regression Models","Censored Model, Limited Dependent, Sample Selection, Switching Regression Models, Tobit, Truncated Models. ","censored model limited dependent sample selection switching regression models tobit truncated models "
"74","C35","Multiple or Simultaneous Equation Models: Discrete Regression and Qualitative Choice Models; Discrete Regressors; Proportions","Count Data, Discrete Regression, Limited Dependent, Logit Model, Multivariate Probit Models, Multivariate Tobit Model, Polychotomous Choice, Proportions, Qualitative Choice. ","count data discrete regression limited dependent logit model multivariate probit models multivariate tobit model polychotomous choice proportions qualitative choice "
"75","C36","Multiple or Simultaneous Equation Models: Instrumental Variables (IV) Estimation","Instrumental Method, Instrumental Variables, Regression Models. ","instrumental method instrumental variables regression models "
"76","C38","Multiple or Simultaneous Equation Models: Classification Methods; Cluster Analysis; Principal Components; Factor Models","Classification Methods, Cluster Analysis, Data Analysis, Factor Analysis, Principal Components. ","classification methods cluster analysis data analysis factor analysis principal components "
"77","C39","Multiple or Simultaneous Equation Models; Multiple Variables: Other","Multivariate Data, Regression Variables. ","multivariate data regression variables "
"78","C40","Econometric and Statistical Methods: Special Topics: General","Econometric Methods, Econometrics, Statistics. ","econometric methods econometrics statistics "
"79","C41","Duration Analysis; Optimal Timing Strategies","Duration Analysis, Hazard Function, Hazard Model, Multiple Spells, Optimal Timing, Proportional Hazard, Repeat Spell Duration, Survival Functions. ","duration analysis hazard function hazard model multiple spells optimal timing proportional hazard repeat spell duration survival functions "
"80","C42","Classification Discontinued 2008. See C83.","None Specified","none specified"
"81","C43","Index Numbers and Aggregation; Leading indicators","Aggregation, Consumer Price Index, CPI, Development Indicator, Divisia, Economic Indicator, Fisher Ideal Indexes, Hedonic Price Index, Human Development Index, Index Number, Indicators, Indice, Jevons Index, Leading Indicators, Production Index, Social Indicator, Wholesale Price Index. ","aggregation consumer price index cpi development indicator divisia economic indicator fisher ideal indexes hedonic price index human development index index number indicators indice jevons index leading indicators production index social indicator wholesale price index "
"82","C44","Operations Research; Statistical Decision Theory","Decision Theory, Graph Theory, Operations Research, Queuing Theory, Routing Problem, Scheduling Problem, Spanning Tree, Statistical Decision Theory, Traveling Salesman, Waiting Line Theory. ","decision theory graph theory operations research queuing theory routing problem scheduling problem spanning tree statistical decision theory traveling salesman waiting line theory "
"83","C45","Neural Networks and Related Topics"," Neural Networks, Artificial Neural Network, Kohonen Map, Neural. "," neural networks artificial neural network kohonen map neural "
"84","C46","Specific Distributions; Specific Statistics","Beta Distribution, Binomial Distribution, Coefficient of Variation, Copula, Exponential Distribution, Extreme Value Distribution, Gamma Distribution, Hypergeometric Distribution, Normal Distribution, Poisson Distribution, Polarization, Uniform Distribution, Weibull. ","beta distribution binomial distribution coefficient variation copula exponential distribution extreme value distribution gamma distribution hypergeometric distribution normal distribution poisson distribution polarization uniform distribution weibull "
"85","C49","Econometric and Statistical Methods: Special Topics: Other","Econometrics, Spatial, Statistics. ","econometrics spatial statistics "
"86","C50","Econometric Modeling: General","Econometric Modeling, Macroeconometric Methods, Microeconometric Methods, Term Structure. ","econometric modeling macroeconometric methods microeconometric methods term structure "
"87","C51","Model Construction and Estimation","Adaptive Expectation, Best Linear Unbiased Estimator, Box Cox, Coefficient, Data Envelopment, Dummy, Endogenous, Estimation, Exogenous, Frontier Estimations, Functional Forms, GMM Estimation, Homogeneity, Least Squares Estimation, Nonlinear Time Series, Point Estimation, Theil-Sen Estimator, Translog. ","adaptive expectation best linear unbiased estimator box cox coefficient data envelopment dummy endogenous estimation exogenous frontier estimations functional forms gmm estimation homogeneity least squares estimation nonlinear time series point estimation theilsen estimator translog "
"88","C52","Model Evaluation, Validation, and Selection"," Nonnested Tests, Discriminant Analysis, Goodness of Fit, Measurement Error, Model Comparison, Model Evaluation, Model Properties, Model Selection, Validation. "," nonnested tests discriminant analysis goodness fit measurement error model comparison model evaluation model properties model selection validation "
"89","C53","Forecasting Models; Simulation Methods","Adaptive Control, Bayesian Forecasting, Certainty Equivalence, Control Theory, Econometric Forecasting, Econometric Simulation, Forecast, Forecasting, Judgemental Forecasting, Judgmental Forecasting, Lucas Critique, Macroeconometric Forecasting, Model Projection, Nowcasting, Predictability, Prediction, Predictor, Simulation. ","adaptive control bayesian forecasting certainty equivalence control theory econometric forecasting econometric simulation forecast forecasting judgemental forecasting judgmental forecasting lucas critique macroeconometric forecasting model projection nowcasting predictability prediction predictor simulation "
